Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
1,1/4/2000,33.3,33.6,32.7,33.4,13.6709,1398400,0,1
2,1/5/2000,33.05,34.15,32.85,33.65,13.7732,1426400,0,1
3,1/6/2000,33.5,34.15,33.3,33.7,13.7937,1205600,0,1
4,1/7/2000,33.7,33.7,32.75,33.7,13.7937,916500,0,1
5,1/10/2000,33.5,33.65,32.8,33,13.5072,922100,0,1
6,1/11/2000,33,33,32.4,32.65,13.3639,1158700,0,1
7,1/12/2000,32.4,33.2,32.4,32.75,13.4048,1187000,0,1
8,1/13/2000,33.05,33.2,32.6,32.7,13.3844,1287500,0,1
9,1/14/2000,33,33.75,32.75,32.95,13.4867,1987100,0,1
10,1/17/2000,33,33.9,33,33.75,13.8141,503500,0,1
11,1/18/2000,33.5,34.25,33.35,34.2,13.9983,1006100,0,1
12,1/19/2000,33.9,34.25,33.6,33.9,13.8755,676200,0,1
13,1/20/2000,33.8,34.35,33.25,34.3,14.0393,766700,0,1
14,1/21/2000,34.1,34.2,33,33.5,13.7118,1313700,0,1
15,1/24/2000,33.3,33.45,31.8,32.4,13.2616,1644100,0,1
16,1/25/2000,32.3,33.4,32.3,33.05,13.5276,1321900,0,1
17,1/26/2000,33.3,35.25,33.25,35.2,14.4076,1480400,0,1
18,1/27/2000,35.5,38.75,35.35,37.5,15.3491,5234300,0,1
19,1/28/2000,36.95,38,36.6,37.5,15.3491,2141100,0,1
20,1/31/2000,37.05,38.2,37,37.8,15.4718,1572300,0,1
21,2/1/2000,37.5,38.2,37.1,38.15,15.6151,1054600,0,1
22,2/2/2000,37.75,38,37.1,37.6,15.39,1507400,0,1
23,2/3/2000,37.6,38.1,37.4,37.45,15.3286,1342200,0,1
24,2/4/2000,37.55,37.65,35.7,36.6,14.9807,1275800,0,1
25,2/7/2000,36.05,36.75,36.05,36.7,15.0216,737400,0,1
26,2/8/2000,36.8,38,36.7,37.75,15.4514,1136700,0,1
27,2/9/2000,37.65,37.75,37.2,37.4,15.3081,852600,0,1
28,2/10/2000,37.2,37.85,37.2,37.8,15.4718,697900,0,1
29,2/11/2000,37.8,37.8,37.2,37.3,15.2672,1117900,0,1
30,2/14/2000,37.75,37.75,36.9,37.45,15.3286,696000,0,1
31,2/15/2000,37,38.2,36.9,37.65,15.4104,962000,0,1
32,2/16/2000,37.7,38.35,37.55,38.1,15.5946,1499000,0,1
33,2/17/2000,38.5,39,36.9,37.25,15.2467,1271500,0,1
34,2/18/2000,38.05,38.85,37.8,37.8,15.4718,2216500,0,1
35,2/21/2000,37.8,38.35,37.55,38.15,15.6151,857600,0,1
36,2/22/2000,38.25,38.8,37.1,37.2,15.2263,1467000,0,1
37,2/23/2000,37.4,37.4,36.8,36.9,15.1035,953600,0,1
38,2/24/2000,36.9,37.15,35.9,36.2,14.817,1642300,0,1
39,2/25/2000,36.2,36.9,35.75,36.75,15.0421,1341200,0,1
40,2/28/2000,36.9,37.7,36.15,37.35,15.2877,672400,0,1
41,2/29/2000,37.6,37.85,35.25,35.35,14.469,1443200,0,1
42,3/1/2000,35.9,36.4,35.55,36.1,14.776,1149500,0,1
43,3/2/2000,36.1,38.15,36,38,15.5537,2192200,0,1
44,3/3/2000,37.35,37.75,36,36.85,15.083,1492200,0,1
45,3/6/2000,36.95,37,36,36.1,14.776,1092300,0,1
46,3/7/2000,36,36,35.2,35.6,14.5714,831700,0,1
47,3/8/2000,35.65,35.95,35,35.5,14.5304,955300,0,1
48,3/9/2000,35.65,36.3,35.3,36.25,14.8374,1109300,0,1
49,3/10/2000,36,37,35.5,37,15.1444,831500,0,1
50,3/13/2000,36.15,37.65,36.15,37.3,15.2672,978300,0,1
51,3/14/2000,37.1,37.5,36.6,37.05,15.1649,695700,0,1
52,3/15/2000,37,37.7,36.75,37.65,15.4104,945700,0,1
53,3/16/2000,37.9,38.9,37.75,38.5,15.7584,1802500,0,1
54,3/17/2000,38,38.65,37.65,38.25,15.656,1600100,0,1
55,3/20/2000,38.5,38.95,38.35,38.65,15.8198,1122100,0,1
56,3/21/2000,38.95,40.1,38.6,40.1,16.4132,2440400,0,1
57,3/22/2000,40,42.15,39.75,41.9,17.15,2950100,0,1
58,3/23/2000,41.5,43.6,41.3,42.6,17.4365,3528100,0,1
59,3/24/2000,42.6,44,42,43.85,18.0883,2048700,0,1
60,3/27/2000,43.5,43.75,41.15,41.5,17.1189,2334900,0,1
61,3/28/2000,40.75,41.5,40.25,41.25,17.0158,2121800,0,1
62,3/29/2000,41,42.25,40.75,41,16.9126,1603300,0,1
63,3/30/2000,40.95,42.7,40.95,42.3,17.4489,2352700,0,1
64,3/31/2000,42.15,42.25,41.15,41.45,17.0983,1218300,0,1
65,4/3/2000,41.15,42.25,41.15,41.8,17.2426,1393700,0,1
66,4/4/2000,41.75,42.4,40.25,41.25,17.0158,2346700,0,1
67,4/5/2000,40.25,41.1,39.35,39.85,16.4383,1529200,0,1
68,4/6/2000,39.75,39.95,39.2,39.2,16.1701,927500,0,1
69,4/7/2000,39.1,39.3,38,38,15.6751,2041200,0,1
70,4/10/2000,38.8,40.15,38.4,39.7,16.3764,1089500,0,1
71,4/11/2000,39.25,41.5,39.25,41.25,17.0158,1825400,0,1
72,4/12/2000,41.35,43.75,41.35,42.5,17.5314,2128000,0,1
73,4/13/2000,42.25,43.3,41.7,42.25,17.4283,1921500,0,1
74,4/14/2000,41.2,42.25,39.85,40.1,16.5414,1556100,0,1
75,4/17/2000,39.1,40.95,39.1,40.65,16.7683,1234700,0,1
76,4/18/2000,40.55,41,39.8,39.85,16.4383,1898300,0,1
77,4/19/2000,40,40.25,38.9,39.15,16.1495,1001600,0,1
78,4/20/2000,39.8,40.6,39.3,40.1,16.5414,1044300,0,1
79,4/24/2000,40.5,40.5,39.9,40.25,16.6033,459500,0,1
80,4/25/2000,40.45,40.9,39.95,40.85,16.8508,701400,0,1
81,4/26/2000,40.75,40.85,39.8,40,16.5001,1886900,0,1
82,4/27/2000,39.6,40.05,39.3,39.65,16.3558,737900,0,1
83,4/28/2000,40,40,38.65,38.8,16.0051,1045300,0,1
84,5/1/2000,38.6,38.75,37.6,38,15.6751,1554200,0,1
85,5/2/2000,38.1,39.3,37.7,39.15,16.1495,1166600,0,1
86,5/3/2000,39.05,39.15,38.5,39.1,16.1289,1114600,0,1
87,5/4/2000,39.05,39.1,38.1,38.55,15.902,941700,0,1
88,5/5/2000,38.1,38.2,37.45,37.75,15.572,1526500,0,1
89,5/8/2000,37.9,38.25,37,37,15.2626,856800,0,1
90,5/9/2000,37.5,39,37.25,38.55,15.902,1320500,0,1
91,5/10/2000,38.5,39.4,38.5,39.05,16.1083,835800,0,1
92,5/11/2000,39.35,39.35,38.8,39.15,16.1495,601400,0,1
93,5/12/2000,39,39.4,38.3,38.65,15.9433,916700,0,1
94,5/15/2000,39,41.1,39,40.85,16.8508,1375200,0,1
95,5/16/2000,41.05,41.6,40.25,41.25,17.0158,1536200,0,1
96,5/17/2000,41,42,40.35,41.5,17.1189,1221400,0,1
97,5/18/2000,41.3,42.4,41.2,41.7,17.2014,1028900,0,1
98,5/19/2000,41,41.6,41,41.25,17.0158,1034600,0,1
99,5/23/2000,41.3,41.5,40.55,40.55,16.727,586000,0,1
100,5/24/2000,40.55,41.5,40.55,41.5,17.1189,724400,0,1
101,5/25/2000,41.9,41.95,40.25,40.25,16.6033,695200,0,1
102,5/26/2000,40.3,40.4,39.6,40.2,16.5826,672200,0,1
103,5/29/2000,39.85,40.35,39.85,40.05,16.5208,143900,0,1
104,5/30/2000,40.75,41.4,40.25,41,16.9126,1126100,0,1
105,5/31/2000,40.8,41.5,40.35,40.35,16.6445,818700,0,1
106,6/1/2000,40.8,42.8,40.8,42.15,17.387,1081600,0,1
107,6/2/2000,43,44.3,42.75,44.15,18.212,2863900,0,1
108,6/5/2000,43.9,43.95,43.1,43.6,17.9851,1282800,0,1
109,6/6/2000,43,43.1,42.5,42.5,17.5314,1256400,0,1
110,6/7/2000,42.25,43.2,42,42.9,17.6964,1560700,0,1
111,6/8/2000,42.85,43.7,42.65,43.1,17.7789,745100,0,1
112,6/9/2000,43.25,44.15,43.15,44.15,18.212,1410000,0,1
113,6/12/2000,44.15,44.6,43.65,44,18.1502,1100300,0,1
114,6/13/2000,43.9,44,42.85,43.2,17.8202,2060100,0,1
115,6/14/2000,43.1,43.55,42.85,43.4,17.9027,809000,0,1
116,6/15/2000,43.4,43.5,42.45,42.5,17.5314,1021400,0,1
117,6/16/2000,42.5,42.65,41.2,41.7,17.2014,1127600,0,1
118,6/19/2000,41.6,43.15,41.6,43,17.7376,1361600,0,1
119,6/20/2000,43.3,43.3,42.4,42.8,17.6551,723700,0,1
120,6/21/2000,42.5,42.9,42.05,42.25,17.4283,1543800,0,1
121,6/22/2000,42.25,43,42.05,42.15,17.387,1235600,0,1
122,6/23/2000,42.2,43.45,42.15,43.45,17.9233,993100,0,1
123,6/26/2000,43.15,43.15,42.3,42.35,17.6032,1260800,0,1
124,6/27/2000,42.35,42.6,41.65,41.8,17.3746,1275100,0,1
125,6/28/2000,41.95,42,41.45,41.5,17.2499,879300,0,1
126,6/29/2000,41.25,41.55,40.8,41.1,17.0836,585300,0,1
127,6/30/2000,41,41,40.35,40.65,16.8966,938100,0,1
128,7/4/2000,41.2,41.2,40.6,40.95,17.0213,367800,0,1
129,7/5/2000,41.05,41.4,40.75,41.05,17.0629,1455600,0,1
130,7/6/2000,41.4,41.4,40.2,40.55,16.855,640800,0,1
131,7/7/2000,40.95,41.75,40.4,41.5,17.2499,827200,0,1
132,7/10/2000,41.05,42.15,41.05,41.4,17.2083,1480300,0,1
133,7/11/2000,41.2,41.75,40.85,41,17.0421,976500,0,1
134,7/12/2000,41.5,41.5,40.5,41,17.0421,972600,0,1
135,7/13/2000,40.95,41.1,40.2,40.3,16.7511,864600,0,1
136,7/14/2000,40.5,40.9,40.5,40.75,16.9382,373000,0,1
137,7/17/2000,40.25,40.85,40,40.25,16.7303,794500,0,1
138,7/18/2000,40.2,40.45,39.9,40,16.6264,744800,0,1
139,7/19/2000,40,40.75,39.95,40.5,16.8342,914800,0,1
140,7/20/2000,40.35,41,40,40.9,17.0005,1836600,0,1
141,7/21/2000,40.9,41.75,40.65,41.45,17.2291,715800,0,1
142,7/24/2000,41.05,42.6,41.05,42.5,17.6656,1010700,0,1
143,7/25/2000,42.75,43.15,42.25,43.1,17.915,930000,0,1
144,7/26/2000,42.6,43.65,42.6,43.5,18.0812,1110400,0,1
145,7/27/2000,43.05,43.4,42.95,43.15,17.9357,1040600,0,1
146,7/28/2000,43,43.6,42.35,42.45,17.6448,834300,0,1
147,7/31/2000,42.15,43,42.15,42.4,17.624,549800,0,1
148,8/1/2000,42.7,42.7,42.2,42.55,17.6863,572800,0,1
149,8/2/2000,42.55,43.55,42.4,43.25,17.9773,771600,0,1
150,8/3/2000,43,43.75,42.7,43.3,17.9981,542200,0,1
