"Symbol","Date","Open","High","Low","Close","Volume","# Trades","Trade Value","Change","% Change","Bid","Bid Size","Ask","Ask Size","TRIV","EOD VWAP","Open Int"
"SHOP:CA","Jan 5, 2023","49.37","49.80","47.91","48.83","4,110,246","24,749","200,994,858","-1.78","-3.52%","48.82","34,400","48.83","11,700","","48.9061",""
"SHOP:CA","Jan 4, 2023","49.16","50.91","48.41","50.61","4,293,133","27,242","214,596,352","1.82","3.73%","50.60","6,000","50.62","16,200","","49.9832",""
"SHOP:CA","Jan 3, 2023","48.79","49.64","47.21","48.79","4,362,799","21,554","210,892,733","1.78","3.79%","48.78","47,500","48.81","4,100","","48.3375",""
"SHOP:CA","Dec 30, 2022","46.55","47.66","46.27","47.01","3,633,065","16,202","170,555,086","-0.55","-1.16%","47.00","38,400","47.02","34,000","","46.9455",""
"SHOP:CA","Dec 29, 2022","44.95","47.92","44.67","47.56","3,258,546","19,930","152,326,867","3.16","7.12%","47.54","13,200","47.59","15,700","","46.7478",""
"SHOP:CA","Dec 28, 2022","44.92","45.51","44.06","44.40","3,769,836","20,452","168,334,893","-1.43","-3.12%","44.39","16,800","44.43","40,800","","44.6526",""
"SHOP:CA","Dec 23, 2022","46.72","47.11","45.17","45.83","3,704,144","19,596","169,781,558","-1.43","-3.03%","45.82","29,700","45.84","400","","45.8355",""
"SHOP:CA","Dec 22, 2022","48.56","48.58","45.685","47.26","5,053,742","29,057","236,760,834","-2.00","-4.06%","47.25","700","47.30","8,200","","46.8477",""
"SHOP:CA","Dec 21, 2022","49.45","50.29","48.10","49.26","5,571,625","17,445","275,146,947","0.25","0.51%","49.24","35,800","49.27","8,100","","49.3832",""
"SHOP:CA","Dec 20, 2022","47.62","50.44","47.52","49.01","4,489,759","19,773","220,476,216","0.54","1.11%","48.99","16,300","49.02","24,900","","49.1075",""
"SHOP:CA","Dec 19, 2022","49.28","49.50","48.11","48.47","2,479,149","15,086","120,350,674","-0.93","-1.88%","48.45","25,900","48.48","25,300","","48.5446",""
"SHOP:CA","Dec 16, 2022","49.40","50.77","48.79","49.40","9,614,124","23,576","475,402,589","-0.31","-0.62%","49.37","27,700","49.41","21,500","","49.4485",""
"SHOP:CA","Dec 15, 2022","50.62","51.40","49.23","49.71","4,456,359","24,273","222,737,096","-2.11","-4.07%","49.68","27,500","49.72","7,900","","49.9815",""
"SHOP:CA","Dec 14, 2022","52.08","53.40","51.17","51.82","4,451,419","22,222","232,230,014","-0.73","-1.39%","51.80","6,600","51.83","9,000","","52.1698",""
"SHOP:CA","Dec 13, 2022","56.70","57.78","52.25","52.55","5,378,072","27,794","291,752,735","0.27","0.52%","52.54","8,300","52.56","6,700","","54.2435",""
"SHOP:CA","Dec 12, 2022","51.67","52.85","51.25","52.28","4,021,020","22,912","209,387,936","-0.12","-0.23%","52.27","27,900","52.29","15,300","","52.0732",""
"SHOP:CA","Dec 9, 2022","52.47","55.09","52.32","52.40","3,031,371","19,388","162,090,841","-0.09","-0.17%","52.39","43,900","52.41","12,000","","53.4709",""
"SHOP:CA","Dec 8, 2022","51.57","53.17","49.70","52.49","3,524,307","23,371","183,759,623","-0.02","-0.04%","52.49","41,800","52.50","13,200","","52.1429",""
"SHOP:CA","Dec 7, 2022","52.18","53.07","51.30","52.51","4,114,091","23,330","215,377,913","-0.70","-1.32%","52.50","26,000","52.52","12,300","","52.3516",""
"SHOP:CA","Dec 6, 2022","55.31","55.64","52.68","53.21","6,389,781","27,379","340,934,710","-2.25","-4.06%","53.20","4,800","53.24","18,600","","53.3552",""
"SHOP:CA","Dec 5, 2022","57.55","58.69","54.96","55.46","3,376,838","23,643","190,189,996","-2.50","-4.31%","55.45","24,500","55.47","14,400","","56.3218",""
"SHOP:CA","Dec 2, 2022","56.65","60.63","56.55","57.96","6,945,514","27,291","405,291,228","-0.33","-0.57%","57.94","700","57.98","13,800","","58.3513",""
"SHOP:CA","Dec 1, 2022","55.90","58.70","55.50","58.29","5,235,430","33,500","303,301,671","3.03","5.48%","58.28","2,100","58.31","36,400","","57.9356",""
"SHOP:CA","Nov 30, 2022","50.39","55.26","50.09","55.26","9,887,520","34,588","534,674,578","4.81","9.53%","54.94","9,600","55.26","1,900","","54.0506",""
"SHOP:CA","Nov 29, 2022","52.10","54.15","49.92","50.45","5,573,514","27,199","287,676,949","-0.89","-1.73%","50.40","10,100","50.46","6,500","","51.6123",""
